Price,PriceTarget,MACD,TradePrice,trade_volume,b1,a1,bq1,aq1,Spread
283.245,283.245,0.0055306566,283.25,23.18207392,283.24,283.25,34.19676066,72.69222127,0.01
283.245,283.245,0.0034715889,283.25,23.18207392,283.24,283.25,34.58676066,11.27362127,0.01
283.245,283.245,0.0015529394,283.25,23.18207392,283.24,283.25,48.62138939,4.45569619,0.01
283.245,283.245,-0.000207245,283.25,0.08095748,283.24,283.25,48.62138939,4.45569619,0.01
283.245,283.245,-0.0017992897,283.25,0.08095748,283.24,283.25,48.62138939,4.37473871,0.01
283.245,283.245,-0.0032199235,283.24,4.46,283.24,283.25,48.62138939,4.37473871,0.01
283.245,283.245,-0.0044706906,283.24,1.68576066,283.24,283.25,48.62138939,4.37473871,0.01
283.245,283.225,-0.0055566744,283.24,0.01,283.24,283.25,48.62138939,4.37473871,0.01
283.245,283.225,-0.0064854801,283.24,0.09,283.24,283.25,48.62138939,4.37473871,0.01
283.245,283.225,-0.007266427,283.24,0.17,283.24,283.25,48.62138939,4.37473871,0.01
283.245,283.235,-0.0079099147,283.24,0.12,283.24,283.25,48.62138939,4.37473871,0.01
283.245,283.23,-0.0084269289,283.24,12.99453934,283.24,283.25,48.62138939,4.37473871,0.01
283.225,283.23,-0.0102645598,283.24,12.99453934,283.2,283.25,1,4.40473871,0.05
283.225,283.23,-0.0115271633,283.21,0.09,283.2,283.25,1,4.40473871,0.05
283.225,283.23,-0.012330874,283.2,0.3797,283.2,283.25,1,4.40473871,0.05
283.235,283.23,-0.0120533602,283.2,0.3797,283.22,283.25,0.45,4.40473871,0.03
283.23,283.23,-0.0120854865,283.2,0.3797,283.21,283.25,2.2,3.11904252,0.04
283.23,283.23,-0.0119621768,283.21,2.2,283.21,283.25,2.2,3.11904252,0.04
283.23,283.23,-0.0117195673,283.2,0.6203,283.21,283.25,2.2,3.11904252,0.04
283.23,283.23,-0.0113872219,283.07,0.05,283.21,283.25,2.2,3.11904252,0.04
283.23,283.23,-0.0109892291,283.03,0.25,283.21,283.25,2.2,3.11904252,0.04
283.23,283.23,-0.0105451226,283.03,0.05,283.21,283.25,2.2,3.11904252,0.04
283.23,283.23,-0.0100706536,283.03,12.14235906,283.21,283.25,2.2,3.11904252,0.04
283.23,283.12,-0.0095784385,283.02,0.05,283.21,283.25,2.2,3.11904252,0.04
283.23,283.035,-0.0090785005,283.02,0.05,283.21,283.25,2.2,3.11904252,0.04
283.23,283.035,-0.0085787234,283.02,4.11764094,283.21,283.25,2.2,3.11904252,0.04
283.23,283.035,-0.0080852308,283.03,0.05,283.21,283.25,2.2,3.11904252,0.04
283.23,283.035,-0.0076027023,283.03,0.4197,283.21,283.25,2.2,3.11904252,0.04
283.12,283.035,-0.0150320738,283.03,0.4197,283.03,283.21,1.1203,29.99999808,0.18
283.035,283.035,-0.0259912841,283.03,0.4197,283.03,283.04,1.0703,1.28569619,0.01
283.035,283.035,-0.032957604,283.03,0.4197,283.03,283.04,43.51210791,31.28569427,0.01
283.035,283.035,-0.0368485785,283.03,0.6803,283.03,283.04,43.51210791,31.28569427,0.01
283.035,283.035,-0.0384048912,283.03,0.39,283.03,283.04,43.51210791,31.28569427,0.01
283.035,283.035,-0.0382215415,283.03,18.9287,283.03,283.04,43.51210791,31.28569427,0.01
283.035,283.035,-0.0367738001,283.03,18.9287,283.03,283.04,24.19444261,32.01999808,0.01
283.035,283.035,-0.0344387886,283.03,18.9287,283.03,283.04,24.19444261,33.30569427,0.01
283.035,283.035,-0.031513399,283.03,18.9287,283.03,283.04,24.19444261,33.94569427,0.01
283.035,283.035,-0.0282291501,283.03,18.9287,283.03,283.04,24.19444261,33.94569427,0.01
283.035,283.035,-0.0247644861,283.03,18.9287,283.03,283.04,24.19444261,3.94569619,0.01
283.035,283.035,-0.021254938,283.03,18.9287,283.03,283.04,24.19444261,33.94569427,0.01
283.035,283.035,-0.0178015043,283.03,18.9287,283.03,283.04,24.19444261,33.94569427,0.01
283.035,283.035,-0.0144775469,283.04,2.02,283.03,283.04,24.19444261,33.94569427,0.01
283.035,283.035,-0.0113344518,283.04,1.28569619,283.03,283.04,24.19444261,33.94569427,0.01
283.035,283.035,-0.0084062635,283.04,0.39,283.03,283.04,24.19444261,33.94569427,0.01
283.035,283.035,-0.0057134675,283.04,0.25,283.03,283.04,24.19444261,33.94569427,0.01
283.035,283.035,-0.003266066,283.04,29.99999808,283.03,283.04,24.19444261,33.94569427,0.01
283.035,283.035,-0.0010660708,283.14,0.05,283.03,283.04,24.19444261,33.94569427,0.01
283.035,283.035,0.0008904868,283.19,0.05,283.03,283.04,24.19444261,33.94569427,0.01
283.035,283.035,0.0026119434,283.21,5,283.03,283.04,24.19444261,33.94569427,0.01
283.035,283.035,0.0041097174,283.24,0.05,283.03,283.04,24.19444261,33.94569427,0.01
283.035,283.035,0.005397291,283.24,0.05,283.03,283.04,24.19444261,33.94569427,0.01
283.035,283.035,0.0064894104,283.24,0.05,283.03,283.04,24.19444261,33.94569427,0.01
283.035,283.105,0.0074014661,283.25,0.00904252,283.03,283.04,24.19444261,33.94569427,0.01
283.035,283.16,0.0081490164,283.25,0.08,283.03,283.04,24.19444261,33.94569427,0.01
283.035,283.17,0.0087474292,283.25,3,283.03,283.04,24.19444261,33.94569427,0.01
283.035,283.17,0.0092116178,283.25,0.03,283.03,283.04,24.19444261,33.94569427,0.01
283.035,283.17,0.0095558517,283.25,53.57706321,283.03,283.04,24.19444261,33.94569427,0.01
283.105,283.17,0.0148192694,283.25,53.57706321,283.05,283.16,0.6,29.999998,0.11
283.16,283.17,0.0222895815,283.25,53.57706321,283.07,283.25,0.6,26.42293679,0.18
283.17,283.17,0.0278214978,283.25,53.57706321,283.09,283.25,0.55,26.42293679,0.16
283.17,283.17,0.0310604255,283.06,0.55,283.09,283.25,0.55,26.42293679,0.16
283.17,283.17,0.0325437552,283.05,0.05,283.09,283.25,0.55,26.42293679,0.16
283.17,283.055,0.0327047452,283.03,0.1313347,283.09,283.25,0.55,26.42293679,0.16
283.17,283.15,0.0318909087,283.03,6.7686653,283.09,283.25,0.55,26.42293679,0.16
283.17,283.085,0.0303793202,283.17,3.52e-05,283.09,283.25,0.55,26.42293679,0.16
283.17,283.085,0.0283893398,283.05,0.28,283.09,283.25,0.55,26.42293679,0.16
283.17,283.085,0.0260931772,283.03,7.2321,283.09,283.25,0.55,26.42293679,0.16
283.055,283.085,0.0153682387,283.03,7.2321,283.05,283.06,0.14,29.999998,0.01
283.15,283.085,0.0141015623,283.03,7.2321,283.05,283.25,0.19,26.47293679,0.2
283.085,283.085,0.0080413418,283.03,7.2321,283.03,283.14,0.07,0.05,0.11
283.085,283.085,0.0034519354,283.05,0.14,283.03,283.14,0.07,0.05,0.11
283.085,283.085,4.2150246312984245e-05,283.05,0.05,283.03,283.14,0.07,0.05,0.11
283.085,283.135,-0.0024270964,283.04,0.2,283.03,283.14,0.07,0.05,0.11
283.085,283.135,-0.0041515861,283.04,0.05,283.03,283.14,0.07,0.05,0.11
283.085,283.195,-0.0052911692,283.03,15.9992347,283.03,283.14,0.07,0.05,0.11
283.085,283.195,-0.0059759254,283.02,81.51013414,283.03,283.14,0.07,0.05,0.11
283.085,283.165,-0.0063113105,283.25,0.00351989,283.03,283.14,0.07,0.05,0.11
283.135,283.19,-0.0027927064,283.25,0.00351989,283.02,283.25,106.50133435,26.4694169,0.23
283.135,283.115,-0.0002553815,283.16,0.04325013,283.02,283.25,106.50133435,26.4694169,0.23
283.195,283.2,0.0058170362,283.16,0.04325013,283.16,283.23,0.00674987,16.29758318,0.07
283.195,283.2,0.0098740623,283.25,2.11193427,283.16,283.23,0.00674987,16.29758318,0.07
283.165,283.2,0.0102154253,283.25,2.11193427,283.16,283.17,0.05674987,222.469998,0.01
283.19,283.2,0.0118629534,283.25,2.11193427,283.16,283.22,0.05674987,192.47,0.06
283.115,283.2,0.0071859184,283.25,2.11193427,283.05,283.18,0.07,192.47,0.13
283.2,283.2,0.0096774848,283.25,2.11193427,283.17,283.23,0.07,0.1313347,0.06
283.2,283.195,0.0110307387,283.17,0.07,283.17,283.23,0.07,0.1313347,0.06
283.2,283.165,0.0115255848,283.16,15.129,283.17,283.23,0.07,0.1313347,0.06
283.2,283.165,0.011386219,283.16,1.59,283.17,283.23,0.07,0.1313347,0.06
283.2,283.165,0.0107911236,283.17,0.03,283.17,283.23,0.07,0.1313347,0.06
283.2,283.165,0.0098813718,283.16,3.18,283.17,283.23,0.07,0.1313347,0.06
283.195,283.165,0.0084085406,283.16,3.18,283.16,283.23,70.101,0.1313347,0.07
283.165,283.165,0.0047812086,283.16,3.18,283.16,283.17,70.101,29.999998,0.01
